reading,value,sub_index,competing_signs,sign_name,abz,mzl,other_lists,sign_other_values,corpus_occurrences,resolved_to_by_scorer,ebl_url
uttu₄,uttu,4,2,MUG,ABZ3,12,HZL 22; LAK 48; OBZL 12; SLLHA 3; KWU 84,buk gagim gaggim gakim gugim gukim guggim mug muga muguₓ muk muq puk šuk₂ wuk,595,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=uttu%E2%82%84&subIndex=4&value=uttu
uttu₄,uttu,4,2,MUG@g,ABZ4,13,OBZL 11; SLLHA 4,uṭu₄ zadim,89,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=uttu%E2%82%84&subIndex=4&value=uttu
uzug₃,uzug,3,2,|SAG×U₂|,ABZ121_8,192,SLLHA 121_8,usag usug₃ zug₃,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=uzug%E2%82%83&subIndex=3&value=uzug
uzug₃,uzug,3,2,|U₂.SAG|,,,,muzug,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=uzug%E2%82%83&subIndex=3&value=uzug
zannaru,zannaru,1,2,MUŠ₃,ABZ103,153,HZL 41; LAK 462; OBZL 44; SLLHA 103v; KWU 117,ennin inana inanna inini innana innin ištar mim₂ muš₃ mušku nin₂ ninni₆ sar₅ se₂₇ sed₆ sedi₆ suba₄ subi₄ suh₁₀ suku₆ sukud₃ sukuš sus₂ susbu₄ suz₂ še₂₃ šed₁₂ šuba₄ zanaru,3582,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=zannaru&subIndex=1&value=zannaru
zannaru,zannaru,1,2,|ZA.MUŠ₃@g|,,,,halba₃ halbi₃ halbu₃ suba subi šub₇ šuba,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=zannaru&subIndex=1&value=zannaru
ze₄,ze,4,2,ZA,ABZ586,851,SLLHA 586,sa₃ ṣa za zagga₂,22074,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=ze%E2%82%84&subIndex=4&value=ze
ze₄,ze,4,2,|AB×ŠEŠ|,ABZ200c,226,SLLHA 200c,zi₄,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=ze%E2%82%84&subIndex=4&value=ze
zug₃,zug,3,2,SAG,ABZ115,184,HZL 192; LAK 307; OBZL 309; SLLHA 115; KWU 432,rēšu dul₇ dunga res reš ris riš sa₁₂ sag saggar saĝĝar saĝ saĝa sak samₓ san saq sur₁₄ ša₂₄ šag šak šaq šegₓ,25170,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=zug%E2%82%83&subIndex=3&value=zug
zug₃,zug,3,2,|SAG×U₂|,ABZ121_8,192,SLLHA 121_8,usag usug₃ uzug₃,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=zug%E2%82%83&subIndex=3&value=zug
zuluhu₃,zuluhu,3,2,|ZI&ZI.A|,ABZ66a,104,OBZL 151; SLLHA 66a,aškiₓ ginₓ gugₓ lamahušₓ mudₓ numunₓ suluhu₃ sulumhi₃ šubₓ zukum₂ zulumhi₃,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=zuluhu%E2%82%83&subIndex=3&value=zuluhu
zuluhu₃,zuluhu,3,2,|ZI&ZI.LAGAB|,ABZ66c,102,OBZL 149; SLLHA 66c; KWU 128,aški gin₄ gug₄ lamahuš mud₇ numun₂ suluhu₃ sulumhi₃ šub₅ zukum zulumhi₃,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=zuluhu%E2%82%83&subIndex=3&value=zuluhu
zulumhi₃,zulumhi,3,2,|ZI&ZI.A|,ABZ66a,104,OBZL 151; SLLHA 66a,aškiₓ ginₓ gugₓ lamahušₓ mudₓ numunₓ suluhu₃ sulumhi₃ šubₓ zukum₂ zuluhu₃,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=zulumhi%E2%82%83&subIndex=3&value=zulumhi
zulumhi₃,zulumhi,3,2,|ZI&ZI.LAGAB|,ABZ66c,102,OBZL 149; SLLHA 66c; KWU 128,aški gin₄ gug₄ lamahuš mud₇ numun₂ suluhu₃ sulumhi₃ šub₅ zukum zuluhu₃,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=zulumhi%E2%82%83&subIndex=3&value=zulumhi
ĝešnu,ĝešnu,1,2,NU₁₁,,115b,LAK 24; KWU 42,duri enšab gešnu gišnu nu₁₁ numₓ nurₓ pil₆ sakarₓ sudₓ,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=%C4%9De%C5%A1nu&subIndex=1&value=%C4%9De%C5%A1nu
ĝešnu,ĝešnu,1,2,|NU₁₁.GIŠ|,,,,ĝišnu,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=%C4%9De%C5%A1nu&subIndex=1&value=%C4%9De%C5%A1nu
šiten,šiten,1,2,SUD₂,ABZ83,139,HZL 29; LAK 74; OBZL 38; SLLHA 83; KWU 119,adarₓ ildag ra₄ rad rat rata raṭ rit₂ rud ruṭ sud₂ susₓ susu šidaₓ šita₃ šitan šušu zusu,3911,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=%C5%A1iten&subIndex=1&value=%C5%A1iten
šiten,šiten,1,2,|KI.DU.KAK|,,,,,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=%C5%A1iten&subIndex=1&value=%C5%A1iten
šub₅,šub,5,2,|ZI&ZI.EŠ₂|,ABZ66b,103,OBZL 150; SLLHA 66b,,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=%C5%A1ub%E2%82%85&subIndex=5&value=%C5%A1ub
šub₅,šub,5,2,|ZI&ZI.LAGAB|,ABZ66c,102,OBZL 149; SLLHA 66c; KWU 128,aški gin₄ gug₄ lamahuš mud₇ numun₂ suluhu₃ sulumhi₃ zukum zuluhu₃ zulumhi₃,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=%C5%A1ub%E2%82%85&subIndex=5&value=%C5%A1ub
šuhub,šuhub,1,2,|ŠU₂.3×AN|,ABZ547,872,OBZL 424; SLLHA 547,iši₂ kunga kungi suhub suhul sulgar,0,,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=%C5%A1uhub&subIndex=1&value=%C5%A1uhub
šuhub,šuhub,1,2,|ŠU₂.AN|,ABZ546,870,LAK 356; SLLHA 546,en₂ gibil₇ gibir₂ iši₂ kibir₃ kunga₂ kungi₂ sulgar suhul še₉,0,yes,https://www.ebl.lmu.de/tools/signs?isComposite=false&isIncludeHomophones=false&sign=%C5%A1uhub&subIndex=1&value=%C5%A1uhub
